ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price	Pins	Contributor	JLCPCB Part Class	Resistance	Resistance (Ohms)	link
"1"	"220uF"	"C1,C2"	"CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD"	"2"	"MVG 16V 220UF 6.3*7.7"	"SAMYOUNG(韩国三莹)"	"LCSC"	"C2827940"	"0.115"	"2"	"LCSC"	"Extended Part"	""	""	""
"2"	"10uF"	"C3,C4"	"C0805"	"2"	"TCC0805X7R106K100FT"	"CCTC(三环)"	"LCSC"	"C380346"	"0.132"	"2"	"LCSC"	"Extended Part"	""	""	""
"3"	"0.1UF"	"C5"	"CAP-TH_L10.0-W4.5-P7.50-D0.6"	"1"	"250V 0.1UF 5% CBBCapacitor"	"ReliaPro"	"LCSC"	"C46804"	""	"2"	""	""	""	""	""
"4"	"1729186"	"CN1(LOAD)"	"CONN-TH_PHOENIX_1729186"	"1"	"1729186"	"Phoenix Contact(菲尼克斯)"	"LCSC"	"C3019615"	"12.092"	"8"	"lcsc"	"Extended Part"	""	""	"https://atta.szlcsc.com/upload/public/pdf/source/20220519/FDD1F0DA252B24ADE57C07AA9124BB79.pdf"
"5"	"M7"	"D1,D2,D3,D4,D5,D6"	"SMA_L4.4-W2.8-LS5.4-RD"	"6"	"M7"	"BORN(伯恩半导体)"	"LCSC"	"C266550"	"0.014"	"2"	"LCSC"	"Extended Part"	""	""	""
"6"	"2009T500MA250V"	"F1"	"FUSE-TH_L8.3-W4.1-P5.08-D0.6"	"1"	"2009T500mA250V"	"Hongda(泓达)"	"LCSC"	"C529783"	"0.06"	"2"	"LCSC"	"Extended Part"	""	""	""
"7"	"KH-2.54PH180-1X6P-L11.5"	"H1"	"HDR-TH_6P-P2.54-V-M-1"	"1"	"KH-2.54PH180-1X6P-L11.5"	"kinghelm(金航标)"	"LCSC"	"C2905486"	"0.046"	"6"	"LCSC"	"Extended Part"	""	""	""
"8"	"KH-2.54PH180-1X9P-L11.5"	"H2_IN,H3_OUT"	"HDR-TH_9P-P2.54-V-M"	"2"	"KH-2.54PH180-1X9P-L11.5"	"kinghelm(金航标)"	"LCSC"	"C2932701"	"0.064"	"9"	"LCSC"	"Extended Part"	""	""	""
"9"	"HF7520-005-HSTP"	"K1,K2,K3,K4,K5,K6"	"RELAY-TH_HF7520-005-HSTP"	"6"	"HF7520-005-HSTP"	"HF(宏发)"	"LCSC"	"C126229"	"2.496"	"4"	"LCSC"	"Extended Part"	""	""	""
"10"	"AMS1117-3.3-YJLTY"	"NO1"	"SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR"	"1"	"AMS1117-3.3-YJLTY"	"null"	"LCSC"	"C9900003397"	""	"4"	"LCSC"	"Extended Part"	""	""	""
"11"	"HLK-PM01L"	"PS1"	"HLK-PM01L"	"1"	"HLK-PM01L"	"HI-LINK"	"HI-LINK"	""	""	"4"	"sbatraAmolvo"	""	""	""	""
"12"	"SS8050_C181160"	"Q1,Q2,Q3,Q4,Q5,Q6"	"SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR"	"6"	"SS8050"	"Hottech(合科泰)"	"LCSC"	"C181160"	"0.018"	"3"	"LCSC"	"Extended Part"	""	""	""
"13"	"10kΩ"	"R1,R2,R3,R4,R6,R9,R11,R13,R15,R17,R18,R19,R20,R21,R22,R23,R24,R25"	"R0805"	"18"	"RMCF0805FT10K0"	"SEI(Stackpole Electronics Inc.)"	"LCSC"	"C237755"	"0.007"	"2"	"LCSC"	"Extended Part"	""	"10K"	""
"14"	"Songtian"	"R5"	"RES-TH_L14.0-W4.9-P7.50-D0.8-S4.90"	"1"	"STE10D431K1EQ0FST0R0"	"STE(松田)"	"LCSC"	"C363065"	"0.079"	"2"	"LCSC"	"Extended Part"	""	""	""
"15"	"1K"	"R7,R8,R10,R12,R14,R16"	"R0805"	"6"	"RT0805BRD071KL"	"YAGEO(国巨)"	"LCSC"	"C110774"	"0.052"	"2"	""	"Extended Part"	"1kΩ"	""	""
"16"	"TY381-3.5-03P-14-00AH"	"S1,S2,S3"	"CONN-TH_3P-P3.50_TOPONELEC_TY381-3.5-03P-14-00AH"	"3"	"TY381-3.5-03P-14-00AH"	"Toponelec(拓宜)"	"LCSC"	"C2840326"	"0.285"	"3"	"LCSC"	"Extended Part"	""	""	""
"17"	"AJT_ESP12F_Long"	"U1"	"AJT_ESP12F_LONG"	"1"	""	""	""	""	""	"16"	"AlanTompkins"	""	""	""	""
"18"	"SN74HC165PWR"	"U2,U4"	"TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL"	"2"	"SN74HC165PWR"	"TI(德州仪器)"	"LCSC"	"C43420"	"0.254"	"16"	""	"Extended Part"	""	""	""
"19"	"SN74HC595PWR"	"U3,U5"	"TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL"	"2"	"SN74HC595PWR"	"TI(德州仪器)"	"LCSC"	"C273642"	"0.219"	"16"	"LCSC"	"Extended Part"	""	""	""
